region,university,category,admission_type,year,department,perfect_score,convert_50_cut,convert_70_cut,grade_50_cut,grade_70_cut,korean,math,inquiry,average,english,recruitment_count,competition_rate,additional_pass,total_apply,pass_num,real_competition_rate
강원,상지대,예체능,정시(다),2021,체육학전공(주),300,,127.2,,,30,13,51,42.4,,24,5.54,8,132.96,32,4.16
강원,상지대,인문,정시(다),2021,중국학과,1000,,460,,,40,27,49,46,,34,0.68,0,23.12,34,0.68
강원,상지대,자연,정시(가),2024,조경산림학과,800,,408,,,,,,51,,0,1.74,23,0,0,0
강원,상지대,자연,정시(가),2023,조경산림학과,803,,392,,,,,,49,,31,0.87,0,26.97,31,0.87
강원,상지대,자연,정시(가),2022,조경산림학과,,,,36.2,55.4,,,,55.4,,1,0.71,,0.71,1,0.71
강원,상지대,자연,정시(나),2021,제약공학과,1000,,408,,,36,34,36,40.8,,35,1.49,17,52.15,52,1
강원,상지대,자연,정시(다),2024,컴퓨터공학과,800,,542.4,,,,,,67.8,,0,2.65,15,0,0,0
강원,상지대,자연,정시(다),2021,정보보안학과,1000,,500,,,28,45,43,50,,24,1.58,14,37.92,38,1
강원,상지대,자연,정시(다),2021,전자공학과,1000,,456,,,33,30,43,45.6,,20,1.75,18,35,38,0.92
강원,상지대,자연,정시(다),2022,전기전자융합공학과,,,,38.8,58.2,,,,58.2,,1,0.57,,0.57,1,0.57
강원,상지대,자연,정시(다),2024,전기전자공학과,800,,412.8,,,,,,51.6,,0,1.83,33,0,0,0
강원,상지대,자연,정시(다),2023,전기전자공학과,803,,412.8,,,,,,51.6,,47,1.89,42,88.83,89,1
강원,상지대,인문,정시(나),2021,재활상담학과,1000,,462,,,43,29,45,46.2,,19,1.47,9,27.93,28,1
강원,상지대,인문,정시(나),2024,작업치료학과,800,,585.6,,,,,,73.2,,3,3.5,3,10.5,6,1.75
강원,상지대,인문,정시(나),2023,작업치료학과,803,,477.6,,,,,,59.7,,8,3.13,17,25.04,25,1
강원,상지대,의약학,정시(다)A형,2023,한의예과,1003,,981,,,,,,98.1,,21,17.19,40,360.99,61,5.92
강원,상지대,자연,정시(가),2021,환경조경학과,1000,,438,,,0,38,40,43.8,,19,1.89,17,35.91,36,1
강원,상지대,인문,정시(가),2024,호텔항공관광경영학과,800,,432,,,,,,54,,0,2.4,28,0,0,0
강원,상지대,인문,정시(가),2023,호텔항공관광경영학과,803,,393.6,,,,,,49.2,,44,1.14,6,50.16,50,1
강원,상지대,인문,정시(가),2021,호텔컨벤션경영학과,1000,,450,,,34,19,31,45,,34,1.74,26,59.16,60,0.99
강원,상지대,인문,정시(다),2021,행정학과,1000,,462,,,40,10,35,46.2,,30,1.3,11,39,41,0.95
강원,상지대,인문,정시(가),2021,항공서비스학과,1000,,300,,,16,13,19,30,,24,1.13,3,27.12,27,1
강원,상지대,의약학,정시(다)B형,2024,한의예과,1000,,976,,,,,,97.6,,15,22.4,61,336,76,4.42
강원,상지대,의약학,정시(다)A형,2024,한의예과,1000,,975,,,,,,97.5,,21,17.76,88,372.96,109,3.42
강원,연세대(미),자연,정시(가)인문,2022,물리치료학과,1010,,653.16,,,76,70,81,78.5,2,5,5.8,10,29,15,1.93
강원,상지대,의약학,정시(다)B형,2023,한의예과,1003,,979,,,,,,97.9,,15,26.33,57,394.95,72,5.49
강원,상지대,의약학,정시(다)A형,2022,한의예과,,,,97.3,97.7,,,,97.7,,21,21.44,39,450.24,60,7.5
강원,상지대,의약학,정시(다)B형,2022,한의예과,,,,97.1,98.1,,,,98.1,,15,32.73,73,490.95,88,5.58
강원,상지대,의약학,정시(다),2021,한의예과,1000,,992.5,,,97,98,98,99.25,,43,21.37,142,918.91,185,4.97
강원,상지대,자연,정시(나),2021,한방의료공학과,1000,,480,,,31,34,43,48,,23,1.13,4,25.99,27,0.96
강원,상지대,인문,정시(다),2021,한국어문학과,1000,,330,,,28,24,34,33,,26,0.92,0,23.92,26,0.92
강원,상지대,예체능,정시(가),2021,패션디자인학과,1000,,486,,,38,27,54,48.6,,20,1.2,6,24,26,0.92
강원,상지대,예체능,정시(다),2021,태권도학전공(주),300,,83.4,,,19,6,26,27.8,,15,2.8,8,42,23,1.83
강원,경동대,인문,정시(나),2023,외식사업학과,700,,676,,,,,,,,3,8.33,,24.99,3,8.33
강원,경동대,인문,정시(나),2024,작업치료학과,700,,660,,,,,,,,25,1.96,,49,25,1.96
강원,경동대,인문,정시(나),2023,작업치료학과,700,,660,,,,,,,,24,1.42,,34.08,24,1.42
강원,경동대,자연,정시(가),2024,임상병리학과,700,,684,,,,,,,,1,16,,16,1,16
강원,경동대,자연,정시(가),2023,임상병리학과,700,,676,,,,,,,,5,7,,35,5,7
강원,경동대,자연,정시(가),2024,응급구조학과,700,,676,,,,,,,,4,5.5,,22,4,5.5
강원,경동대,자연,정시(가),2023,응급구조학과,700,,676,,,,,,,,4,9.5,,38,4,9.5
강원,경동대,인문,정시(나),2024,유아교육과,700,,668,,,,,,,,51,1.9,,96.9,51,1.9
강원,경동대,인문,정시(나),2023,유아교육과,700,,676,,,,,,,,10,6.5,,65,10,6.5
강원,경동대,인문,정시(다),2024,외식사업학과,700,,684,,,,,,,,1,17,,17,1,17
강원,경동대,예체능,정시(가),2023,체육학과,700,,380,,,,,,,,5,3.4,,17,5,3.4
강원,경동대,자연,정시(나),2024,안경광학과,700,,668,,,,,,,,8,2.5,,20,8,2.5
강원,경동대,자연,정시(나),2023,안경광학과,700,,668,,,,,,,,7,1.86,,13.02,7,1.86
강원,경동대,예체능,정시(나),2024,스포츠마케팅학과,700,,684,,,,,,,,1,23,,23,1,23
강원,경동대,예체능,정시(나),2023,스포츠마케팅학과,700,,676,,,,,,,,5,6.8,,34,5,6.8
강원,경동대,자연,정시(가),2024,소프트웨어학과,700,,676,,,,,,,,3,29.33,,87.99,3,29.33
강원,경동대,자연,정시(가),2023,소프트웨어학과,700,,676,,,,,,,,5,21.7,,108.5,5,21.7
강원,경동대,인문,정시(가),2024,사회복지학과,700,,676,,,,,,,,1,41,,41,1,41
강원,경동대,인문,정시(가),2023,사회복지학과,700,,668,,,,,,,,12,2.83,,33.96,12,2.83
강원,경동대,자연,정시(나),2024,토목공학과,700,,676,,,,,,,,8,5.13,,41.04,8,5.13
강원,경동대,예체능,정시(나),2024,호텔조리학과,700,,684,,,,,,,,2,6,,12,2,6
강원,경동대,예체능,정시(나),2023,호텔조리학과,700,,676,,,,,,,,3,6,,18,3,6
강원,경동대,인문,정시(가),2024,호텔관광경영학과,700,,676,,,,,,,,3,22,,66,3,22
